term,trend,peak_time_bin,peak_freq,total_freq,time_bin,freq
视频,rising,2026-03-08,130,153,2026-03-07,23
视频,rising,2026-03-08,130,153,2026-03-08,130
中国,rising,2026-03-08,122,134,2026-03-07,12
中国,rising,2026-03-08,122,134,2026-03-08,122
王毅,new_or_sparse,2026-03-08,76,76,2026-03-07,0
王毅,new_or_sparse,2026-03-08,76,76,2026-03-08,76
龙虾,new_or_sparse,2026-03-08,68,68,2026-03-07,0
龙虾,new_or_sparse,2026-03-08,68,68,2026-03-08,68
台湾,new_or_sparse,2026-03-08,63,63,2026-03-07,0
台湾,new_or_sparse,2026-03-08,63,63,2026-03-08,63
统一,new_or_sparse,2026-03-08,56,56,2026-03-07,0
统一,new_or_sparse,2026-03-08,56,56,2026-03-08,56
伊朗,rising,2026-03-08,72,74,2026-03-07,2
伊朗,rising,2026-03-08,72,74,2026-03-08,72
祖国,rising,2026-03-08,61,62,2026-03-07,1
祖国,rising,2026-03-08,61,62,2026-03-08,61
世界,rising,2026-03-08,57,59,2026-03-07,2
世界,rising,2026-03-08,57,59,2026-03-08,57
风险,new_or_sparse,2026-03-08,34,34,2026-03-07,0
风险,new_or_sparse,2026-03-08,34,34,2026-03-08,34
国家,rising,2026-03-08,54,63,2026-03-07,9
国家,rising,2026-03-08,54,63,2026-03-08,54
OpenClaw,new_or_sparse,2026-03-08,29,29,2026-03-07,0
OpenClaw,new_or_sparse,2026-03-08,29,29,2026-03-08,29
乱象,new_or_sparse,2026-03-08,28,28,2026-03-07,0
乱象,new_or_sparse,2026-03-08,28,28,2026-03-08,28
乱象丛生,new_or_sparse,2026-03-08,27,27,2026-03-07,0
乱象丛生,new_or_sparse,2026-03-08,27,27,2026-03-08,27
丛生,new_or_sparse,2026-03-08,27,27,2026-03-07,0
丛生,new_or_sparse,2026-03-08,27,27,2026-03-08,27
童琴,new_or_sparse,2026-03-07,19,19,2026-03-07,19
童琴,new_or_sparse,2026-03-07,19,19,2026-03-08,0
香港,new_or_sparse,2026-03-07,16,16,2026-03-07,16
香港,new_or_sparse,2026-03-07,16,16,2026-03-08,0
霍启刚,new_or_sparse,2026-03-07,11,11,2026-03-07,11
霍启刚,new_or_sparse,2026-03-07,11,11,2026-03-08,0
冰雪,falling,2026-03-07,15,16,2026-03-07,15
冰雪,falling,2026-03-07,15,16,2026-03-08,1
AG,new_or_sparse,2026-03-07,9,9,2026-03-07,9
AG,new_or_sparse,2026-03-07,9,9,2026-03-08,0
肖战,new_or_sparse,2026-03-07,9,9,2026-03-07,9
肖战,new_or_sparse,2026-03-07,9,9,2026-03-08,0
短剧,falling,2026-03-07,11,21,2026-03-07,11
短剧,falling,2026-03-07,11,21,2026-03-08,10
孩子,rising,2026-03-08,24,35,2026-03-07,11
孩子,rising,2026-03-08,24,35,2026-03-08,24
邝兆镭,new_or_sparse,2026-03-07,7,7,2026-03-07,7
邝兆镭,new_or_sparse,2026-03-07,7,7,2026-03-08,0
经济,stable,2026-03-07,10,20,2026-03-07,10
经济,stable,2026-03-07,10,20,2026-03-08,10
冰雪经济,new_or_sparse,2026-03-07,6,6,2026-03-07,6
冰雪经济,new_or_sparse,2026-03-07,6,6,2026-03-08,0
WB,new_or_sparse,2026-03-07,6,6,2026-03-07,6
WB,new_or_sparse,2026-03-07,6,6,2026-03-08,0
育儿补贴,new_or_sparse,2026-03-07,6,6,2026-03-07,6
育儿补贴,new_or_sparse,2026-03-07,6,6,2026-03-08,0
