time_bin,term,score,freq,history_mean,lift,burst_z
2026-03-07,童琴,28.16142072320909,19,0.0,20.0,19.0
2026-03-07,香港,24.433426122678615,16,0.0,17.0,16.0
2026-03-07,视频,23.521625923624946,23,0.0,24.0,23.0
2026-03-07,霍启刚,18.05725980995892,11,0.0,12.0,11.0
2026-03-07,冰雪,16.490704115218442,15,0.0,16.0,15.0
2026-03-07,AG,15.417833207970025,9,0.0,10.0,9.0
2026-03-07,肖战,15.417833207970025,9,0.0,10.0,9.0
2026-03-07,中国,13.77061614687681,12,0.0,13.0,12.0
2026-03-07,短剧,12.847889076566984,11,0.0,12.0,11.0
2026-03-07,孩子,12.847889076566984,11,0.0,12.0,11.0
2026-03-07,邝兆镭,12.69572260754427,7,0.0,8.0,7.0
2026-03-07,经济,11.91494267576806,10,0.0,11.0,10.0
2026-03-07,冰雪经济,11.290992969590242,6,0.0,7.0,6.0
2026-03-07,WB,11.290992969590242,6,0.0,7.0,6.0
2026-03-07,育儿补贴,11.290992969590242,6,0.0,7.0,6.0
2026-03-08,王毅,95.23670746064406,76,0.0,77.0,76.0
2026-03-08,中国,93.48146402420775,122,12.0,9.461538461538462,110.0
2026-03-08,视频,90.69147228415498,130,23.0,5.458333333333333,107.0
2026-03-08,龙虾,85.99692479263938,68,0.0,69.0,68.0
2026-03-08,台湾,80.20731708231811,63,0.0,64.0,63.0
2026-03-08,统一,72.07862396161572,56,0.0,57.0,56.0
2026-03-08,伊朗,61.91223055526027,72,2.0,24.333333333333332,70.0
2026-03-08,祖国,54.00815638205132,61,1.0,31.0,60.0
2026-03-08,世界,49.55334552533718,57,2.0,19.333333333333332,55.0
2026-03-08,风险,46.25935304288482,34,0.0,35.0,34.0
2026-03-08,国家,40.48975518887416,54,9.0,5.5,45.0
2026-03-08,OpenClaw,40.296689757944314,29,0.0,30.0,29.0
2026-03-08,乱象,39.09748800117327,28,0.0,29.0,28.0
2026-03-08,乱象丛生,37.89570947358038,27,0.0,28.0,27.0
2026-03-08,丛生,37.89570947358038,27,0.0,28.0,27.0
